,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1098,Byron Haskin,Eleanor Parker,Charlton Heston,Abraham Sofaer,Action Adventure Drama Romance,the naked jungle,Eleanor Parker Charlton Heston Abraham Sofaer Byron Haskin Action Adventure Drama Romance
1099,Fritz Lang,Glenn Ford,Gloria Grahame,Broderick Crawford,Drama Romance Crime,human desire,Glenn Ford Gloria Grahame Broderick Crawford Fritz Lang Drama Romance Crime
1100,Hamilton Luske,Barbara Luddy,Larry Roberts,Peggy Lee,Family Animation Romance,lady and the tramp,Barbara Luddy Larry Roberts Peggy Lee Hamilton Luske Family Animation Romance
1101,Ladislao Vajda,Pablito Calvo,Rafael Rivelles,Antonio Vico,Drama Comedy,the miracle of marcelino,Pablito Calvo Rafael Rivelles Antonio Vico Ladislao Vajda Drama Comedy
1102,Nicholas Ray,James Dean,Natalie Wood,Sal Mineo,Drama,rebel without a cause,James Dean Natalie Wood Sal Mineo Nicholas Ray Drama
1103,Motoyoshi Oda,Hiroshi Koizumi,Setsuko Wakayama,Minoru Chiaki,Science Fiction Horror,godzilla raids again,Hiroshi Koizumi Setsuko Wakayama Minoru Chiaki Motoyoshi Oda Science Fiction Horror
1104,Alfred Hitchcock,Cary Grant,Grace Kelly,Jessie Royce Landis,Crime Thriller Mystery Romance Comedy,to catch a thief,Cary Grant Grace Kelly Jessie Royce Landis Alfred Hitchcock Crime Thriller Mystery Romance Comedy
1105,Billy Wilder,Marilyn Monroe,Tom Ewell,Evelyn Keyes,Comedy Romance,the seven year itch,Marilyn Monroe Tom Ewell Evelyn Keyes Billy Wilder Comedy Romance
1106,Carl Theodor Dreyer,Henrik Malberg,Birgitte Federspiel,Emil Hass Christensen,Drama,ordet,Henrik Malberg Birgitte Federspiel Emil Hass Christensen Carl Theodor Dreyer Drama
1107,Elia Kazan,James Dean,Julie Harris,Raymond Massey,Drama Romance,east of eden,James Dean Julie Harris Raymond Massey Elia Kazan Drama Romance
1108,Ernst Marischka,Romy Schneider,Karlheinz Böhm,Magda Schneider,Comedy Drama Romance,sissi,Romy Schneider Karlheinz Böhm Magda Schneider Ernst Marischka Comedy Drama Romance
1109,Charles Laughton,Robert Mitchum,Shelley Winters,Lillian Gish,Crime Drama Thriller,the night of the hunter,Robert Mitchum Shelley Winters Lillian Gish Charles Laughton Crime Drama Thriller
1110,Alexander Mackendrick,Alec Guinness,Cecil Parker,Herbert Lom,Comedy Crime,the ladykillers,Alec Guinness Cecil Parker Herbert Lom Alexander Mackendrick Comedy Crime
1111,Henri-Georges Clouzot,Véra Clouzot,Simone Signoret,Jean Brochard,Drama Horror Thriller,diabolique,Véra Clouzot Simone Signoret Jean Brochard Henri-Georges Clouzot Drama Horror Thriller
1112,Frank Tashlin,Dean Martin,Jerry Lewis,Shirley MacLaine,Comedy,artists and models,Dean Martin Jerry Lewis Shirley MacLaine Frank Tashlin Comedy
1113,John Sturges,Spencer Tracy,Robert Ryan,Anne Francis,Thriller Drama Crime,bad day at black rock,Spencer Tracy Robert Ryan Anne Francis John Sturges Thriller Drama Crime
1114,Jack Arnold,John Agar,Mara Corday,Leo G. Carroll,Horror Science Fiction Thriller,tarantula,John Agar Mara Corday Leo G. Carroll Jack Arnold Horror Science Fiction Thriller
1115,Douglas Sirk,Jane Wyman,Rock Hudson,Agnes Moorehead,Drama Romance,all that heaven allows,Jane Wyman Rock Hudson Agnes Moorehead Douglas Sirk Drama Romance
1116,Joseph M. Newman,Rex Reason,Faith Domergue,Jeff Morrow,Science Fiction Adventure Horror,this island earth,Rex Reason Faith Domergue Jeff Morrow Joseph M. Newman Science Fiction Adventure Horror
1117,Anthony Mann,James Stewart,Arthur Kennedy,Donald Crisp,Drama Western,the man from laramie,James Stewart Arthur Kennedy Donald Crisp Anthony Mann Drama Western
1118,Fred Zinnemann,Gordon MacRae,Gloria Grahame,Gene Nelson,Western Music Romance,oklahoma!,Gordon MacRae Gloria Grahame Gene Nelson Fred Zinnemann Western Music Romance
1119,Federico Fellini,Broderick Crawford,Giulietta Masina,Franco Fabrizi,Drama Crime Comedy,the swindle,Broderick Crawford Giulietta Masina Franco Fabrizi Federico Fellini Drama Crime Comedy
1120,Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Drama History,the ten commandments,Charlton Heston Yul Brynner Anne Baxter Cecil B. DeMille Drama History
