,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1287,Hiroshi Teshigahara,Eiji Okada,Kyōko Kishida,Hiroko Itō,Drama Thriller,woman in the dunes,Eiji Okada Kyōko Kishida Hiroko Itō Hiroshi Teshigahara Drama Thriller
1288,Alfred Hitchcock,Tippi Hedren,Sean Connery,Martin Gabel,Crime Drama Mystery Romance Thriller,marnie,Tippi Hedren Sean Connery Martin Gabel Alfred Hitchcock Crime Drama Mystery Romance Thriller
1289,Anthony Mann,Sophia Loren,Stephen Boyd,Christopher Plummer,Drama History War,the fall of the roman empire,Sophia Loren Stephen Boyd Christopher Plummer Anthony Mann Drama History War
1290,Ishirō Honda,Yōsuke Natsuki,Yuriko Hoshi,Akiko Wakabayashi,Action Adventure Science Fiction,"ghidorah, the three-headed monster",Yōsuke Natsuki Yuriko Hoshi Akiko Wakabayashi Ishirō Honda Action Adventure Science Fiction
1291,Jean Girault,Louis de Funès,Geneviève Grad,Michel Galabru,Comedy,le gendarme de saint-tropez,Louis de Funès Geneviève Grad Michel Galabru Jean Girault Comedy
1292,Christian-Jaque,Alain Delon,Virna Lisi,Adolfo Marsillach,Adventure,the black tulip,Alain Delon Virna Lisi Adolfo Marsillach Christian-Jaque Adventure
1293,Kaneto Shindō,Nobuko Otowa,Jitsuko Yoshimura,Kei Satō,Horror Drama,onibaba,Nobuko Otowa Jitsuko Yoshimura Kei Satō Kaneto Shindō Horror Drama
1294,George Sidney,Elvis Presley,Ann-Margret,Cesare Danova,Comedy Drama Music Romance,viva las vegas,Elvis Presley Ann-Margret Cesare Danova George Sidney Comedy Drama Music Romance
1295,Miguel M. Delgado,Cantinflas,Ángel Garasa,Angelines Fernández,Comedy,el padrecito,Cantinflas Ángel Garasa Angelines Fernández Miguel M. Delgado Comedy
1296,Cy Endfield,Stanley Baker,Jack Hawkins,Ulla Jacobsson,Action Drama History War,zulu,Stanley Baker Jack Hawkins Ulla Jacobsson Cy Endfield Action Drama History War
1297,Ralph Nelson,Cary Grant,Leslie Caron,Trevor Howard,Adventure Comedy Romance,father goose,Cary Grant Leslie Caron Trevor Howard Ralph Nelson Adventure Comedy Romance
